Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR6375802,2018-01-23 14:43:59,2017-12-14 09:44:06,26554264,7966279200,26554264,300,3396,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/006226/SRR6375802,SRX3470649,RRA63225-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903738,SAMN08435002,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Liver 2,,,,,male,,no,,,,,,SRA638794,,public,CCC3DB27E1CB30E637183651CD800D21,3C2A62D08818ECB15B04D9433B671EE8
SRR6377628,2018-01-23 14:43:59,2017-12-14 22:17:57,28311908,8493572400,28311908,300,3718,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006228/SRR6377628,SRX3472448,RRA63229-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903739,SAMN08435046,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Stomach 2,,,,,male,,no,,,,,,SRA639037,,public,AC312CA4A64833D5449B0F61CA2178F5,1EAEE27B3FC8C171787F4CCF5A13A544
SRR6378063,2018-01-23 14:43:59,2017-12-15 05:15:38,33616578,10084973400,33616578,300,4311,,https://sra-download.ncbi.nlm.nih.gov/traces/sra55/SRR/006228/SRR6378063,SRX3472874,RRA63226-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903740,SAMN08435045,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Spleen 2,,,,,male,,no,,,,,,SRA639060,,public,0643EF17322DCC2F67BA7AEF1A97C2EE,28B4BF79CB92A4C359D1B422CEFAF4C2
SRR6381571,2018-01-23 14:44:00,2017-12-16 00:47:28,27434283,8230284900,27434283,300,3560,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/006232/SRR6381571,SRX3475267,RRA63228-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903741,SAMN08434999,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Kidney 2,,,,,male,,no,,,,,,SRA639361,,public,907F4EA2D1D3A827454A1AB233B85E0B,C17882B979CE7FB3C5174FB31F831A37
SRR6381605,2018-01-23 14:44:00,2017-12-16 02:15:48,26195841,7858752300,26195841,300,3370,,https://sra-download.ncbi.nlm.nih.gov/traces/sra56/SRR/006232/SRR6381605,SRX3475301,RRA63227-S,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP126441,PRJNA419616,1,419616,SRS2903742,SAMN08435003,simple,8855,Cairina moschata,RNA-seq of Cairina moschata: adult male Lung 2,,,,,male,,no,,,,,,SRA639366,,public,63B6BA4F6E8B573A18808CBB0C6E1BF3,CB550D246AAA485E4EEF20F3331EFEDA
SRR6476647,2018-01-19 16:14:13,2018-01-19 16:10:19,21741668,6407027206,21741668,294,3156,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/006324/SRR6476647,SRX3566523,Chicken_D742-T02,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP129867,PRJNA429870,,429870,SRS2838552,SAMN08362610,simple,9031,Gallus gallus,guxiaoxiao-Chicken_D742-T02,,,,,male,,no,,,,,,SRA647272,,public,399D537BB87DA6BC86376A06FCB528AC,E766EC471C3EB2FA5A01FDC1F7342DD7
SRR6476648,2018-01-19 16:27:12,2018-01-19 16:23:38,24837987,7342934766,24837987,295,3607,,https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/006324/SRR6476648,SRX3566522,Chicken_D742-T01,RNA-Seq,PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP129867,PRJNA429870,,429870,SRS2838551,SAMN08362609,simple,9031,Gallus gallus,guxiaoxiao-Chicken_D742-T01,,,,,male,,no,,,,,,SRA647272,,public,8BD31234228E5D31ADD2C30B754BFCF5,E7AC50E41EEE7474325470CCB3392896
SRR6483193,2018-01-19 01:29:33,2018-01-18 22:40:28,31142650,6228530000,31142650,200,4078,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006331/SRR6483193,SRX3573056,T_A,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP130184,PRJNA430750,,430750,SRS2844024,SAMN08378463,simple,9030,Gallus,T_A,,,,,female,,no,,,,,,SRA647947,,public,30D216D1257991DCF6026CF1B846C90B,D01B9E451AA650B02A989964EACE7A23
SRR6483194,2018-01-19 01:29:32,2018-01-18 22:45:58,37804729,7560945800,37804729,200,4963,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006331/SRR6483194,SRX3573055,T_B,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP130184,PRJNA430750,,430750,SRS2844023,SAMN08378464,simple,9030,Gallus,T_B,,,,,female,,no,,,,,,SRA647947,,public,A2E8D8638AB55A9D1788B450583FB870,A0A65AC4F70568243D771D2BF1FB992E
SRR6483195,2018-01-19 01:29:32,2018-01-18 22:46:07,43827851,8765570200,43827851,200,5797,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006331/SRR6483195,SRX3573054,T_C,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP130184,PRJNA430750,,430750,SRS2844022,SAMN08378465,simple,9030,Gallus,T_C,,,,,female,,no,,,,,,SRA647947,,public,E740FE2A32AFD936E7988907C220218B,483F8A454C27AE0EF6EEE159EFF0B506
SRR6483196,2018-01-19 01:29:32,2018-01-18 22:44:04,41960900,8392180000,41960900,200,5509,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006331/SRR6483196,SRX3573053,T_D,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP130184,PRJNA430750,,430750,SRS2844020,SAMN08378466,simple,9030,Gallus,T_D,,,,,female,,no,,,,,,SRA647947,,public,DE7CE8C131C97FFBEB3E950BFA16F19A,911529FEF3B9B3F8A46B35E47B757E4F
SRR6483197,2018-01-26 09:52:12,2018-01-26 09:50:31,8275891,413794550,0,50,259,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/006331/SRR6483197,SRX3573052,S_A,miRNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP130184,PRJNA430750,,430750,SRS2844019,SAMN08378459,simple,9030,Gallus,S_A,,,,,female,,no,,,,,,SRA647947,,public,37C274C1C1127A4C9B39DAA687A8CF8A,ABA3A30100F367C6D7D2787FE3099C1E
SRR6483198,2018-01-26 09:51:12,2018-01-26 09:49:59,7091297,354564850,0,50,217,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006331/SRR6483198,SRX3573051,S_B,miRNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP130184,PRJNA430750,,430750,SRS2844018,SAMN08378460,simple,9030,Gallus,S_B,,,,,female,,no,,,,,,SRA647947,,public,EB7474E52D52712F947AAAD00A637B62,E3CC9B52E68B7BF0395F9731DE1776A7
SRR6483199,2018-01-26 09:52:12,2018-01-26 09:50:36,9022100,451105000,0,50,281,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006331/SRR6483199,SRX3573050,S_C,miRNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP130184,PRJNA430750,,430750,SRS2844017,SAMN08378461,simple,9030,Gallus,S_C,,,,,female,,no,,,,,,SRA647947,,public,D1E2665F440DEF85DC09E2A36B1ED21A,839025053493F8210DBB97DE07B4304A
SRR6483200,2018-01-26 10:02:12,2018-01-26 09:52:51,10724020,536201000,0,50,338,,https://sra-download.ncbi.nlm.nih.gov/traces/sra49/SRR/006331/SRR6483200,SRX3573049,S_D,miRNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP130184,PRJNA430750,,430750,SRS2844016,SAMN08378462,simple,9030,Gallus,S_D,,,,,female,,no,,,,,,SRA647947,,public,C30355D2C7BA6F513D7E1812F6F1C73F,5FB54F75E390FA69191F88EFDB75F453
SRR6490214,2018-01-23 00:34:11,2018-01-23 00:30:39,29380823,8814246900,29380823,300,2998,,https://sra-download.ncbi.nlm.nih.gov/traces/sra57/SRR/006338/SRR6490214,SRX3580068,cslg-gsiC2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP130819,PRJNA427863,,427863,SRS2849412,SAMN08275199,simple,9031,Gallus gallus,cslg-gsiC2,,,,,not applicable,,no,,,,,,SRA649220,,public,BFBB2969C223FACD77E9E3747EDE3F5A,403979458A8BA46B5CBCF9AD8D54B3B5
SRR6490215,2018-01-23 00:44:11,2018-01-23 00:36:15,37311274,11193382200,37311274,300,3800,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/006338/SRR6490215,SRX3580067,cslg-gsiC1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP130819,PRJNA427863,,427863,SRS2849413,SAMN08275196,simple,9031,Gallus gallus,cslg-gsiC1,,,,,not applicable,,no,,,,,,SRA649220,,public,8FB8237DC364A0C15736A9652B120820,BC2AB14D80F51D0023452EA0C181781B
SRR6490216,2018-01-23 00:50:11,2018-01-23 00:44:07,37610571,11283171300,37610571,300,3811,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/006338/SRR6490216,SRX3580066,cslg-gsiT1,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP130819,PRJNA427863,,427863,SRS2849411,SAMN08275208,simple,9031,Gallus gallus,cslg-gsiT1,,,,,not applicable,,no,,,,,,SRA649220,,public,E3BCE5D639391E089B886E488978F094,99A25F010187704A687720B3E081F6D4
SRR6490217,2018-01-23 00:27:12,2018-01-23 00:22:52,16996471,4818235576,16996471,283,1892,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/006338/SRR6490217,SRX3580065,cslg-gsiC3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP130819,PRJNA427863,,427863,SRS2849410,SAMN08275201,simple,9031,Gallus gallus,cslg-gsiC3,,,,,not applicable,,no,,,,,,SRA649220,,public,AAF3F0EDDC6A31506CFD77620F15EA2E,EAAAECCAD158B41A988F732E2250FCFE
SRR6490218,2018-01-23 00:44:11,2018-01-23 00:35:12,34821666,10446499800,34821666,300,3512,,https://sra-download.ncbi.nlm.nih.gov/traces/sra21/SRR/006338/SRR6490218,SRX3580064,cslg-gsiT3,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP130819,PRJNA427863,,427863,SRS2849408,SAMN08275211,simple,9031,Gallus gallus,cslg-gsiT3,,,,,not applicable,,no,,,,,,SRA649220,,public,AD76D8E84D3E703CE2DE7AF03A9D153F,D067B330305957315D06AA71032599D7
SRR6490219,2018-01-23 01:14:27,2018-01-23 01:01:17,54979315,16493794500,54979315,300,5503,,https://sra-download.ncbi.nlm.nih.gov/traces/sra28/SRR/006338/SRR6490219,SRX3580063,cslg-gsiT2,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP130819,PRJNA427863,,427863,SRS2849409,SAMN08275209,simple,9031,Gallus gallus,cslg-gsiT2,,,,,not applicable,,no,,,,,,SRA649220,,public,E00E320F7F410933F9022C5DF141CDF7,FFC91BCA369ECA85C860E6D93CD31217
SRR6495781,2018-01-25 16:53:13,2018-01-23 17:33:29,36202603,10860780900,36202603,300,4223,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/006343/SRR6495781,SRX3585083,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP131000,PRJNA430195,,430195,SRS2853946,SAMN08367448,simple,9031,Gallus gallus,GSM2935571,,,,,,,no,,,,,GEO,SRA650282,,public,2BDD722305AAB84EAA6C4AA9D2D35BBD,E6774F377923F111604F3F7099293EC8
SRR6495783,2018-01-25 16:53:13,2018-01-23 17:32:37,34097176,10229152800,34097176,300,3991,,https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/006343/SRR6495783,SRX3585084,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP131000,PRJNA430195,,430195,SRS2853947,SAMN08367453,simple,9031,Gallus gallus,GSM2935572,,,,,,,no,,,,,GEO,SRA650282,,public,28422F6DF5D77331D17AB2079BCE5665,D3A898F4FF00F57B9483EEF3A2C077C7
SRR6495784,2018-01-25 16:53:13,2018-01-23 17:42:48,41239990,12371997000,41239990,300,4790,,https://sra-download.ncbi.nlm.nih.gov/traces/sra58/SRR/006343/SRR6495784,SRX3585085,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP131000,PRJNA430195,,430195,SRS2853948,SAMN08367452,simple,9031,Gallus gallus,GSM2935573,,,,,,,no,,,,,GEO,SRA650282,,public,C12967E249EF4B277092299A58AA1A34,38DAAEEBF3A59C719136B44834D5B18B
SRR6495785,2018-01-25 16:53:13,2018-01-23 17:37:15,35706154,10711846200,35706154,300,4137,,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/006343/SRR6495785,SRX3585086,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP131000,PRJNA430195,,430195,SRS2858885,SAMN08367451,simple,9031,Gallus gallus,GSM2935574,,,,,,,no,,,,,GEO,SRA650282,,public,70C197A2C8E0858DA8A1CC7AF5B24D35,D56D77443FF8B8DD8B2A98B5FA993565
SRR6495786,2018-01-25 16:53:13,2018-01-23 17:32:46,34237736,10271320800,34237736,300,4034,,https://sra-download.ncbi.nlm.nih.gov/traces/sra4/SRR/006343/SRR6495786,SRX3585087,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP131000,PRJNA430195,,430195,SRS2853951,SAMN08367450,simple,9031,Gallus gallus,GSM2935575,,,,,,,no,,,,,GEO,SRA650282,,public,3CF0A6AFAA5BD4432C3C830E9908A99A,F671B557D66A4E9B9D873B81CDC159C2
SRR6495787,2018-01-25 16:53:13,2018-01-23 17:32:28,32852622,9855786600,32852622,300,3874,,https://sra-download.ncbi.nlm.nih.gov/traces/sra29/SRR/006343/SRR6495787,SRX3585088,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP131000,PRJNA430195,,430195,SRS2853952,SAMN08367449,simple,9031,Gallus gallus,GSM2935576,,,,,,,no,,,,,GEO,SRA650282,,public,3A685F80BDDE20B545D71EA0CEF24E36,6B0190FFA70CA31A84AD0230196EE29B
ERR2244881,2018-01-26 11:16:37,2018-01-30 10:03:30,15919150,2387872500,15919150,150,840,,https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR2244/ERR2244881,ERX2296904,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086897,SAMEA104468955,simple,9031,Gallus gallus,LN.I.B5.1dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,F301EDD58D87DE68253F125E4962FFBB,AC963BDAF11B5E77939F9C5102111981
ERR2244882,2018-01-26 11:16:37,2018-01-30 10:03:20,16574386,2486157900,16574386,150,874,,https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR2244/ERR2244882,ERX2296905,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086906,SAMEA104468964,simple,9031,Gallus gallus,LN.C.B3.5dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,CAAC5A51AB99A180F292F1EC713CAEFE,CB2207E9E426F8B0A263174E20B02DFF
ERR2244883,2018-01-26 11:16:37,2018-01-30 10:03:49,15902541,2385381150,15902541,150,843,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR2244/ERR2244883,ERX2296906,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086910,SAMEA104468968,simple,9031,Gallus gallus,LN.I.B6.1dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,1865992C41A3933534EFDD33E22D17E5,D8DF1C85069C0ABAEB71E02012060C8D
ERR2244884,2018-01-26 11:16:38,2018-01-30 10:03:28,15177540,2276631000,15177540,150,802,,https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR2244/ERR2244884,ERX2296907,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086917,SAMEA104468975,simple,9031,Gallus gallus,LN.C.B2.5dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,8F6A6AE61E03D067B9109F16813AFDD6,421DAE26A6EAF87595FFACB726CBF4FD
ERR2244885,2018-01-26 11:16:38,2018-01-30 10:04:05,14129473,2119420950,14129473,150,745,,https://sra-download.ncbi.nlm.nih.gov/traces/era18/ERR/ERR2244/ERR2244885,ERX2296908,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086918,SAMEA104468976,simple,9031,Gallus gallus,LN.C.B2.1dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,DA1FB0BEA74911D95CFFE0FFC546431E,5C82DC2DABD2544AA987B60FF4936008
ERR2244886,2018-01-26 11:16:38,2018-01-30 10:04:19,15562695,2334404250,15562695,150,825,,https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR2244/ERR2244886,ERX2296909,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086909,SAMEA104468967,simple,9031,Gallus gallus,LN.C.B1.5dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,9805087BD7CFB85D9E6315A824237D29,F02B15C3AFC407D6E1086DACB2AF2317
ERR2244887,2018-01-26 11:16:38,2018-01-30 10:04:49,13136400,1970460000,13136400,150,693,,https://sra-download.ncbi.nlm.nih.gov/traces/era19/ERR/ERR2244/ERR2244887,ERX2296910,unspecified,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,165,0,ILLUMINA,Illumina HiSeq 2500,ERP106221,PRJEB24399,,430375,ERS2086898,SAMEA104468956,simple,9031,Gallus gallus,L6.C.B1.5dpi,,,,,,,no,,,,,UNIVERSITY OF EDINBURGH,ERA1179828,,public,F80DD645037DBEA0DC8B6295AC63DD34,BF07F652464E8E758A8BF990847E7136
